,id_student,id_course,average,bac_average,status
0,14011097122,TPBUR,14.0,14.38,Admis/Session1
1,14011097185,TPBUR,15.0,14.71,Admis/Session1
2,14011097193,TPBUR,16.0,14.13,Admis/Session1
3,14011097248,TPBUR,14.0,14.68,Admis/Session1
4,14011097256,TPBUR,15.0,14.35,Admis/Session1
5,14011097266,TPBUR,10.0,14.8,Admis/Dettes
6,14011097330,TPBUR,16.0,14.15,Admis/Session1
7,14011097354,TPBUR,14.0,14.04,Admis/Session1
8,14011097368,TPBUR,14.0,14.39,Admis/Session1
9,14011097527,TPBUR,11.0,14.75,Admis/Session1
10,14011097549,TPBUR,16.0,14.42,Admis/Session1
11,14011097631,TPBUR,15.0,14.15,Admis/Session1
