,id_student,id_course,average,bac_average,status
0,14011198194,His-s,4.0,13.08,Admis/Session1
1,14011198217,His-s,7.0,13.54,Admis/Dettes
2,14011198259,His-s,3.0,13.64,Admis/Session2
3,14011198335,His-s,4.0,13.66,Admis/Session1
4,14011198436,His-s,5.0,13.57,Admis/Dettes
5,14011298617,His-s,15.5,13.12,Admis/Dettes
6,14011298637,His-s,8.0,13.54,Admis/Session1
7,14011298676,His-s,15.0,13.21,Admis/Session1
8,14011298682,His-s,15.5,13.64,Admis/Session1
9,14011298686,His-s,15.0,13.95,Admis/Session1
10,14011298696,His-s,10.5,13.42,Admis/Session2
11,14011298705,His-s,4.0,13.02,Admis/Session1
12,14011298711,His-s,14.5,13.04,Admis/Session1
13,14011298770,His-s,11.0,13.01,Admis/Session2
14,14011298798,His-s,14.0,13.37,Admis/Session1
15,14011298838,His-s,14.0,13.4,Admis/Session1
16,14011298895,His-s,13.0,13.09,Admis/Session1
17,14011298979,His-s,14.5,13.75,Admis/Session1
18,14011299038,His-s,11.0,13.87,Admis/Session2
19,14011299066,His-s,10.0,13.5,Admis/Session2
20,14011299116,His-s,13.0,13.49,Admis/Session1
21,14011299136,His-s,15.0,13.57,Admis/Session1
22,14011299173,His-s,3.0,13.22,Admis/Session2
23,14011299174,His-s,2.0,13.15,Admis/Session1
