,id_student,id_course,average,bac_average,status
0,14011198194,Tecw,15.0,13.08,Admis/Session1
1,14011198217,Tecw,4.0,13.54,Admis/Dettes
2,14011198259,Tecw,17.5,13.64,Admis/Session2
3,14011198335,Tecw,19.0,13.66,Admis/Session1
4,14011198436,Tecw,16.0,13.57,Admis/Dettes
5,14011298617,Tecw,16.0,13.12,Admis/Dettes
6,14011298637,Tecw,17.5,13.54,Admis/Session1
7,14011298676,Tecw,19.5,13.21,Admis/Session1
8,14011298682,Tecw,16.5,13.64,Admis/Session1
9,14011298686,Tecw,19.5,13.95,Admis/Session1
10,14011298696,Tecw,18.0,13.42,Admis/Session2
11,14011298705,Tecw,17.5,13.02,Admis/Session1
12,14011298711,Tecw,17.0,13.04,Admis/Session1
13,14011298770,Tecw,15.5,13.01,Admis/Session2
14,14011298798,Tecw,13.0,13.37,Admis/Session1
15,14011298838,Tecw,16.0,13.4,Admis/Session1
16,14011298895,Tecw,16.0,13.09,Admis/Session1
17,14011298979,Tecw,18.0,13.75,Admis/Session1
18,14011299038,Tecw,16.5,13.87,Admis/Session2
19,14011299066,Tecw,14.5,13.5,Admis/Session2
20,14011299116,Tecw,13.5,13.49,Admis/Session1
21,14011299136,Tecw,17.5,13.57,Admis/Session1
22,14011299173,Tecw,16.0,13.22,Admis/Session2
23,14011299174,Tecw,16.0,13.15,Admis/Session1
